trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
45,False,"{'a': 0.2, 'e': 1.0}",25,0,-177.01133789794946,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
46,False,"{'a': 0.2, 'e': 1.0}",20,0,-86.73755364543047,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
47,False,"{'a': 0.2, 'e': 1.0}",20,0,-85.81206111610493,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
48,False,"{'a': 0.2, 'e': 1.0}",20,2,-53.62870206201194,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 1}",1
49,False,"{'a': 0.2, 'e': 1.0}",25,7,-33.170610820214925,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 0}",1
50,False,"{'a': 0.2, 'e': 1.0}",20,0,-163.30834869022186,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
51,False,"{'a': 0.2, 'e': 1.0}",20,0,-177.8341677858389,"{0: 8, 1: 4, 2: 5, 3: 0, 4: 3}",0
52,False,"{'a': 0.2, 'e': 1.0}",20,0,-193.5747203455261,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
53,False,"{'a': 0.2, 'e': 1.0}",35,0,-267.7652204675784,"{0: 20, 1: 1, 2: 8, 3: 2, 4: 4}",1
54,False,"{'a': 0.2, 'e': 1.0}",35,0,-124.19621115307739,"{0: 23, 1: 2, 2: 8, 3: 1, 4: 1}",0
55,False,"{'a': 0.2, 'e': 1.0}",30,0,-100.5989591830766,"{0: 18, 1: 3, 2: 7, 3: 2, 4: 0}",0
56,False,"{'a': 0.2, 'e': 1.0}",20,0,-97.38612135761385,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
57,False,"{'a': 0.2, 'e': 1.0}",20,0,-167.01732525684844,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
58,False,"{'a': 0.2, 'e': 1.0}",25,0,-200.57739737546774,"{0: 14, 1: 4, 2: 3, 3: 0, 4: 4}",0
59,False,"{'a': 0.2, 'e': 1.0}",20,0,-139.94167229317188,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
60,False,"{'a': 0.2, 'e': 1.0}",30,0,-121.78489928580716,"{0: 17, 1: 5, 2: 7, 3: 0, 4: 1}",0
61,False,"{'a': 0.2, 'e': 1.0}",25,0,-54.85774623934718,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
62,False,"{'a': 0.2, 'e': 1.0}",25,0,-196.39152959228286,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
63,False,"{'a': 0.2, 'e': 1.0}",20,0,-85.61050454258444,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
64,False,"{'a': 0.2, 'e': 1.0}",20,0,-94.30669422652143,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
65,False,"{'a': 0.2, 'e': 1.0}",20,0,-114.96502110519906,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
66,False,"{'a': 0.2, 'e': 1.0}",20,0,-83.48865542309844,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
67,False,"{'a': 0.2, 'e': 1.0}",30,6,-76.6992230766058,"{0: 15, 1: 6, 2: 2, 3: 0, 4: 1}",1
68,False,"{'a': 0.2, 'e': 1.0}",25,0,-234.928894207952,"{0: 10, 1: 4, 2: 6, 3: 2, 4: 3}",0
69,False,"{'a': 0.2, 'e': 1.0}",25,0,-128.47507332104342,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
70,False,"{'a': 0.2, 'e': 1.0}",30,0,-124.2180919791767,"{0: 18, 1: 2, 2: 9, 3: 0, 4: 1}",0
71,False,"{'a': 0.2, 'e': 1.0}",25,0,-223.1711921506904,"{0: 9, 1: 4, 2: 7, 3: 3, 4: 2}",0
72,False,"{'a': 0.2, 'e': 1.0}",20,0,-98.60272920232603,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
73,False,"{'a': 0.2, 'e': 1.0}",20,0,-65.37365349974615,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
74,False,"{'a': 0.2, 'e': 1.0}",20,0,-58.21606355318312,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
75,False,"{'a': 0.2, 'e': 1.0}",20,0,-189.8567560728512,"{0: 7, 1: 4, 2: 4, 3: 3, 4: 2}",0
76,False,"{'a': 0.2, 'e': 1.0}",25,0,-111.13022350488583,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
77,False,"{'a': 0.2, 'e': 1.0}",30,0,-154.59308583966902,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
78,False,"{'a': 0.2, 'e': 1.0}",20,0,-155.82336430387687,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
