trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.002, 'e': 0.9212719586963487}",25,0,-158.8779307552292,"{0: 13, 1: 5, 2: 3, 3: 2, 4: 2}",0
43,False,"{'a': 0.002, 'e': 0.9194312560951247}",30,7,-143.03103466584787,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 2}",1
44,False,"{'a': 0.002, 'e': 0.9175942312201509}",25,0,-83.3719921564729,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
45,False,"{'a': 0.002, 'e': 0.9157608767233256}",20,0,-58.63129268751081,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
46,False,"{'a': 0.002, 'e': 0.9139311852712282}",25,0,-46.88965126226577,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
47,False,"{'a': 0.002, 'e': 0.9121051495450904}",25,0,-106.24361616859474,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
48,False,"{'a': 0.002, 'e': 0.910282762240767}",25,0,-147.6381110010703,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
49,False,"{'a': 0.002, 'e': 0.9084640160687062}",30,0,-204.94742558930398,"{0: 16, 1: 3, 2: 5, 3: 4, 4: 2}",0
50,False,"{'a': 0.002, 'e': 0.9066489037539209}",30,0,-122.24378587084563,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",1
51,False,"{'a': 0.002, 'e': 0.9048374180359595}",20,0,-20.310665191611808,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
52,False,"{'a': 0.002, 'e': 0.9030295516688768}",20,0,-76.38142240070366,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
53,False,"{'a': 0.002, 'e': 0.9012252974212047}",20,0,-80.49555325399949,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
54,False,"{'a': 0.002, 'e': 0.899424648075924}",25,0,-131.92863946475896,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
55,False,"{'a': 0.002, 'e': 0.8976275964304349}",25,0,-162.97960146533538,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
56,False,"{'a': 0.002, 'e': 0.8958341352965282}",30,0,-135.4733016053318,"{0: 17, 1: 2, 2: 9, 3: 1, 4: 1}",0
57,False,"{'a': 0.002, 'e': 0.8940442575003572}",25,0,-86.04235743622876,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
58,False,"{'a': 0.002, 'e': 0.8922579558824083}",20,0,-109.69421473602226,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
59,False,"{'a': 0.002, 'e': 0.8904752232974726}",20,0,-64.87985660769587,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
60,False,"{'a': 0.002, 'e': 0.8886960526146174}",20,0,-25.766028522814622,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
61,False,"{'a': 0.002, 'e': 0.8869204367171575}",20,0,-103.65014909619592,"{0: 10, 1: 4, 2: 2, 3: 4, 4: 0}",0
62,False,"{'a': 0.002, 'e': 0.8851483685026271}",25,0,-176.69791712280977,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
63,False,"{'a': 0.002, 'e': 0.8833798408827509}",20,15,-4.282828035880129,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.002, 'e': 0.8816148467834161}",25,0,-130.97861814130303,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
65,False,"{'a': 0.002, 'e': 0.8798533791446438}",20,0,-69.69798276518648,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
66,False,"{'a': 0.002, 'e': 0.8780954309205613}",25,0,-73.19934553372563,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
67,False,"{'a': 0.002, 'e': 0.8763409950793732}",20,0,-90.30178449471771,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
68,False,"{'a': 0.002, 'e': 0.874590064603334}",20,0,-145.81811923061375,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
69,False,"{'a': 0.002, 'e': 0.8728426324887193}",20,0,-52.58468076108965,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
70,False,"{'a': 0.002, 'e': 0.8710986917457983}",25,0,-16.80638862208068,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
71,False,"{'a': 0.002, 'e': 0.8693582353988059}",20,0,-36.201465672159514,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
72,False,"{'a': 0.002, 'e': 0.867621256485914}",20,0,-28.241884301536597,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
73,False,"{'a': 0.002, 'e': 0.865887748059205}",25,0,-51.1268873736175,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
74,False,"{'a': 0.002, 'e': 0.8641577031846428}",20,0,-44.43332670264806,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
75,False,"{'a': 0.002, 'e': 0.8624311149420455}",20,0,-70.2558271817369,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
76,False,"{'a': 0.002, 'e': 0.8607079764250578}",20,0,-144.97246383140902,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
77,False,"{'a': 0.002, 'e': 0.8589882807411234}",20,0,-118.61661091985894,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
78,False,"{'a': 0.002, 'e': 0.8572720210114575}",20,0,12.568113123548338,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
79,False,"{'a': 0.002, 'e': 0.8555591903710185}",30,8,-93.88274832630826,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 2}",1
80,False,"{'a': 0.002, 'e': 0.8538497819684817}",20,0,-134.979150186349,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
81,False,"{'a': 0.002, 'e': 0.8521437889662113}",25,0,-50.882442986619836,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
82,False,"{'a': 0.002, 'e': 0.850441204540233}",25,0,-98.20829435235137,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
83,False,"{'a': 0.002, 'e': 0.8487420218802068}",20,0,-68.004936887968,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
84,False,"{'a': 0.002, 'e': 0.8470462341893996}",25,0,-69.95294724209958,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
85,False,"{'a': 0.002, 'e': 0.8453538346846587}",20,0,-180.93628566966794,"{0: 10, 1: 1, 2: 3, 3: 4, 4: 2}",0
86,False,"{'a': 0.002, 'e': 0.8436648165963837}",25,0,-84.31658201645982,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
87,False,"{'a': 0.002, 'e': 0.8419791731684999}",25,13,-83.89092584162141,"{0: 7, 1: 1, 2: 1, 3: 2, 4: 1}",1
88,False,"{'a': 0.002, 'e': 0.8402968976584314}",25,0,-118.98807620352618,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
89,False,"{'a': 0.002, 'e': 0.838617983337074}",25,0,-45.59359109729323,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
90,False,"{'a': 0.002, 'e': 0.8369424234887681}",25,0,-75.8657699024154,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
91,False,"{'a': 0.002, 'e': 0.835270211411272}",25,0,-89.55278479132599,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
92,False,"{'a': 0.002, 'e': 0.8336013404157353}",20,0,-46.833336253763406,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
93,False,"{'a': 0.002, 'e': 0.8319358038266718}",25,0,-69.63006300793604,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
94,False,"{'a': 0.002, 'e': 0.8302735949819326}",20,12,-10.500524727014076,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
95,False,"{'a': 0.002, 'e': 0.8286147072326806}",20,5,-53.05110897988367,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",1
96,False,"{'a': 0.002, 'e': 0.8269591339433623}",20,11,-28.649918924017744,"{0: 4, 1: 3, 2: 2, 3: 0, 4: 0}",1
97,False,"{'a': 0.002, 'e': 0.8253068684916823}",20,0,-109.55479273068671,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
98,False,"{'a': 0.002, 'e': 0.8236579042685769}",30,0,-178.43464387413522,"{0: 16, 1: 4, 2: 6, 3: 2, 4: 2}",0
99,False,"{'a': 0.002, 'e': 0.8220122346781865}",30,0,-158.21807389158238,"{0: 19, 1: 4, 2: 4, 3: 0, 4: 3}",0
100,False,"{'a': 0.002, 'e': 0.8203698531378311}",25,0,-83.55722755879266,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
101,False,"{'a': 0.002, 'e': 0.8187307530779818}",25,0,-227.57263879776832,"{0: 9, 1: 8, 2: 4, 3: 0, 4: 4}",0
102,False,"{'a': 0.002, 'e': 0.8170949279422366}",30,19,-14.212253559186234,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
103,False,"{'a': 0.002, 'e': 0.8154623711872927}",20,9,-84.98736609344165,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 2}",1
104,False,"{'a': 0.002, 'e': 0.8138330762829207}",25,0,-46.200937054780745,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
105,False,"{'a': 0.002, 'e': 0.812207036711939}",30,0,-198.66262258805176,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
106,False,"{'a': 0.002, 'e': 0.8105842459701871}",30,0,-65.63824719249219,"{0: 25, 1: 3, 2: 0, 3: 0, 4: 2}",0
107,False,"{'a': 0.002, 'e': 0.8089646975664998}",20,0,-30.420448230883512,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
